Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary,,,,
79,94,95,0,9,11,9,11,21,22,1,4,0,0,4100,4140,4120,4160,9900,0,112,4F 5E 5F 00 45 46 4A 01 00 04 00 B9 CE D0 B9 CD CF AC 26 00 00 00 07 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
78,95,99,0,9,11,9,11,20,22,3,4,0,0,4100,4160,4160,4200,10018,1,400,4E 5F 63 00 44 46 4B 03 00 04 00 B9 D0 D2 B9 CD D0 22 27 01 00 00 19 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
77,99,100,0,9,11,9,11,22,22,2,4,0,0,4180,4220,4200,4220,10433,0,64,4D 63 64 00 46 46 4B 02 00 04 00 B9 D2 D3 B9 D1 D3 C1 28 00 00 00 04 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
76,100,100,0,9,11,9,11,23,26,0,4,0,0,4200,4240,4240,4300,10500,158,0,4C 64 64 00 47 4A 72 00 00 04 00 B9 D4 D7 B9 D2 D4 04 29 9E 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
75,70,100,0,9,7,9,2,23,26,0,4,0,0,4300,4320,3880,3920,10500,4216,0,4B 46 64 00 47 4A 77 00 00 04 00 29 C2 C4 79 D7 D8 04 29 78 10 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
74,68,99,0,9,11,9,11,22,30,27,4,0,0,3880,3920,4260,4320,7416,239,3312,4A 44 63 00 46 4E 6E 1B 00 04 00 B9 D5 D8 B9 C2 C4 F8 1C EF 00 00 CF 00 05 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
73,100,100,0,9,11,8,7,28,28,0,4,0,0,4320,4340,4180,4700,10500,65,0,49 64 64 00 4C 4C 78 00 00 04 00 78 D1 EB B9 D8 D9 04 29 41 00 00 00 00 0B 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
72,18,100,0,8,9,7,6,21,28,0,4,0,1,4180,4560,3640,3700,10500,10364,0,48 12 64 00 45 4C 78 00 00 04 80 67 B6 B9 98 D1 E4 04 29 7C 28 00 00 00 0B 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
71,97,100,0,8,6,8,6,22,23,25,4,0,0,4280,4300,4320,4340,10194,2,304,47 61 64 00 46 47 4C 19 00 04 00 68 D8 D9 68 D6 D7 D2 27 02 00 00 13 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
70,85,100,0,8,9,5,9,17,27,0,4,0,0,4320,4340,4100,4720,10500,1586,0,46 55 64 00 41 4B 77 00 00 04 00 95 CD EC 98 D8 D9 04 29 32 06 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
69,77,100,0,11,6,9,10,23,25,0,4,0,1,4060,4740,4020,4040,10500,3447,0,45 4D 64 00 47 49 77 00 00 04 80 A9 C9 CA 6B CB ED 04 29 77 0D 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
68,77,81,0,9,11,9,11,25,27,10,4,0,0,4020,4040,4060,4080,8184,18,352,44 4D 51 00 49 4B 66 0A 00 04 00 B9 CB CC B9 C9 CA F8 1F 12 00 00 16 00 05 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
67,81,82,0,9,11,9,11,25,26,11,4,0,0,4040,4080,4060,4100,8520,0,96,43 51 52 00 49 4A 4E 0B 00 04 00 B9 CB CD B9 CA CC 48 21 00 00 00 06 00 05 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
