Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary
37,77,100,0,7,10,6,10,19,22,0,4,1,0,3940,4560,4100,4120,10500,2715,0,25 4D 64 00 43 46 7A 00 00 04 40 A6 CD CE A7 C5 E4 04 29 9B 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E8 45 C4 43 00 00 00 00 BD A8 29 C5 00 00 00 00 00 00 00 00 00
36,77,98,0,6,10,6,10,23,29,35,4,0,0,4100,4120,4300,4320,8178,61,2208,24 4D 62 00 47 4D 59 23 00 04 00 A6 D7 D8 A6 CD CE F2 1F 3D 00 00 8A 00 00 00 00 E4 01 05 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BC 47 06 45 00 00 00 00 00 00 00 00 00
35,98,99,0,6,10,6,10,23,23,2,4,0,0,4300,4320,4320,4340,10327,0,160,23 62 63 00 47 47 56 02 00 04 00 A6 D8 D9 A6 D7 D8 57 28 00 00 00 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 04 2C 43 00 00 00 00 00 00 00 00 00
34,100,100,0,6,10,6,11,24,25,0,4,0,0,4340,4340,4300,4320,10500,583,0,22 64 64 00 48 49 78 00 00 04 00 B6 D7 D8 A6 D9 D9 04 29 47 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 65 CD 11 44 00 00 00 00 65 CD 11 C4 00 00 00 00 00 00 00 00 00
33,82,100,0,6,11,8,11,22,24,0,4,0,0,4300,4320,4120,4160,10500,2631,0,21 52 64 00 46 48 79 00 00 04 00 B8 CE D0 B6 D7 D8 04 29 47 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 E7 41 44 00 00 00 00 DE 69 24 C5 00 00 00 00 00 00 00 00 00
32,82,82,0,8,11,6,11,23,23,5,4,0,0,4120,4160,4120,4160,8645,0,64,20 52 52 00 47 47 56 05 00 04 00 B6 CE D0 B8 CE D0 C5 21 00 00 00 04 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 6A 8A 42 00 00 00 00 00 00 00 00 00
31,83,83,0,8,11,6,11,23,23,5,4,0,0,4120,4160,4120,4160,8715,0,64,1F 53 53 00 47 47 57 05 00 04 00 B6 CE D0 B8 CE D0 0B 22 00 00 00 04 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FC 06 88 42 00 00 00 00 00 00 00 00 00
30,83,83,0,8,11,6,11,23,23,0,4,0,0,4140,4160,4140,4160,8784,0,16,1E 53 53 00 47 47 57 00 00 04 00 B6 CF D0 B8 CF D0 50 22 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AD 07 DD 41 00 00 00 00 00 00 00 00 00
29,83,84,0,8,11,6,11,23,23,5,4,0,0,4140,4180,4140,4180,8812,0,96,1D 53 54 00 47 47 58 05 00 04 00 B6 CF D1 B8 CF D1 6C 22 00 00 00 06 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 18 CF 42 00 00 00 00 00 00 00 00 00
28,84,86,0,6,11,6,11,23,23,5,4,0,0,4140,4180,4160,4200,8916,0,144,1C 54 56 00 47 47 57 05 00 04 00 B6 D0 D2 B6 CF D1 D4 22 00 00 00 09 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1B D6 11 43 00 00 00 00 00 00 00 00 00
